feature,group,rank,mean_abs_all,share_all,mean_abs_benign,mean_abs_attack,mean_signed_all,spearman_value_vs_shap_uniform,direction
Bwd Packet/Bulk Avg,counts_direction,70,5.55117e-05,6.30198e-06,4.93145e-05,7.50628e-05,-3.16405e-06,-0.618692,higher value -> toward benign
Fwd URG Flags,flags,71,0,0,0,0,0,,non-monotone / mixed
Packet Length Variance,pkt_size_both,72,0,0,0,0,0,,non-monotone / mixed
URG Flag Count,flags,73,0,0,0,0,0,,non-monotone / mixed
CWR Flag Count,flags,74,0,0,0,0,0,,non-monotone / mixed
ECE Flag Count,flags,75,0,0,0,0,0,,non-monotone / mixed
Average Packet Size,pkt_size_both,76,0,0,0,0,0,,non-monotone / mixed
Fwd Segment Size Avg,fwd_size,77,0,0,0,0,0,,non-monotone / mixed
Subflow Fwd Packets,counts_direction,78,0,0,0,0,0,,non-monotone / mixed
Subflow Bwd Packets,counts_direction,79,0,0,0,0,0,,non-monotone / mixed
ICMP Code,protocol,80,0,0,0,0,0,,non-monotone / mixed
ICMP Type,protocol,81,0,0,0,0,0,,non-monotone / mixed
